instruction,input,output
Interpret OBD-II code P1878,,Transmission Mechanical 4-Wheel Drive Axle Lock Lamp Circuit Short To Battery
Interpret OBD-II code P1879,,Transmission Automatic Hall Effect Sensor Power Circuit Failure
Interpret OBD-II code P1880,,Transmission Automatic Hall Effect Sensor Power Circuit Short To Battery / 4WD Low Switch Circuit Electrical
Interpret OBD-II code P1881,,Transmission Transfer Case 2-Wheel Drive Solenoid Circuit Failure
Interpret OBD-II code P1882,,Transmission Transfer Case 2-Wheel Drive Solenoid Circuit Short To Battery
Interpret OBD-II code P1883,,Transmission Transfer Case Disengaged Solenoid Circuit Failure
Interpret OBD-II code P1884,,Transmission Transfer Case Disengaged Solenoid Open Circuit
Interpret OBD-II code P1885,,Transmission Transfer Case Disengaged Solenoid Short to Battery
Interpret OBD-II code P1886,,Engine Coolant Level Switch Circuit Failure
Interpret OBD-II code P1890,,Engine Coolant Level Switch Circuit Short to Ground
Interpret OBD-II code P1891,,Engine Coolant Level Switch Circuit Failure
Interpret OBD-II code P1900,,Engine Coolant Level Lamp Circuit Short to Ground
Interpret OBD-II code P1901,,Transmission Transfer Case Disengaged Solenoid Short to Ground
Interpret OBD-II code P1902,,4X4 Initialization Failure
Interpret OBD-II code P1903,,Transmission 4WD Mode Select Return Input Circuit Failure
Interpret OBD-II code P1904,,Transmission Transfer Case Contact Plate Ground Return Open Circuit
Interpret OBD-II code P1905,,OSS Circuit Intermittent Malfunction
Interpret OBD-II code P1906,,TSS Circuit Intermittent Malfunction
Interpret OBD-II code P1907,,"Pressure Control Solenoid ""B"" Intermittent Short"
Interpret OBD-II code P1908,,"Pressure Control Solenoid ""C"" Short Circuit"
Interpret OBD-II code P1909,,"Pressure Control Solenoid ""C"" Open Circuit"
Interpret OBD-II code P1910,,"Pressure Control Solenoid ""C"" Intermittent Short"
Interpret OBD-II code P1911,,Kickdown Pull Relay Open or Short Circuit to Ground
Interpret OBD-II code P1912,,Kickdown Hold Relay Open or Short Circuit to Ground
Interpret OBD-II code P1913,,Transmission Pressure Circuit Solenoid Open or Short to Ground
Interpret OBD-II code P1914,,Trans  Temp  Sensor Circuit Open or Shorted to Pwr  or Gnd
Interpret OBD-II code P1915,,VFS A Pressure Output Failed Low
Interpret OBD-II code P1916,,VFS B Pressure Output Failed Low
Interpret OBD-II code P1917,,VFS C Pressure Output Failed Low
Interpret OBD-II code P1918,,Pressure Switch A Circuit Malfunction
Interpret OBD-II code B1200,,Climate Control Pushbutton Circuit Failure
Interpret OBD-II code B1201,,Fuel Sender Circuit Failure
Interpret OBD-II code B1202,,Fuel Sender Circuit Open
Interpret OBD-II code B1203,,Fuel Sender Circuit Short To Battery
Interpret OBD-II code B1204,,Fuel Sender Circuit Short To Ground
Interpret OBD-II code B1205,,EIC Switch-1 Assembly Circuit Failure
Interpret OBD-II code B1206,,EIC Switch-1 Assembly Circuit Open
Interpret OBD-II code B1207,,EIC Switch-1 Assembly Circuit Short To Battery
Interpret OBD-II code B1208,,EIC Switch-1 Assembly Circuit Short To Ground
Interpret OBD-II code B1209,,EIC Switch-2 Assembly Circuit Failure
Interpret OBD-II code B1210,,EIC Switch-2 Assembly Circuit Open
Interpret OBD-II code B1211,,EIC Switch-2 Assembly Circuit Short To Battery
Interpret OBD-II code B1212,,EIC Switch-2 Assembly Circuit Short To Ground
Interpret OBD-II code B1213,,Anti-Theft Number of Programmed Keys Is Below Minimum
Interpret OBD-II code B1214,,Running Board Lamp Circuit Failure
Interpret OBD-II code B1215,,Running Board Lamp Circuit Short to Battery
Interpret OBD-II code B1216,,Emergency & Road Side Assistance Switch Circuit Short to Ground
Interpret OBD-II code B1217,,Horn Relay Coil Circuit Failure
Interpret OBD-II code B1218,,Horn Relay Coil Circuit Short to Vbatt
Interpret OBD-II code B1219,,Fuel Tank Pressure Sensor Circuit Failure
Interpret OBD-II code B1220,,Fuel Tank Pressure Sensor Circuit Open
Interpret OBD-II code B1222,,Fuel Temperature Sensor #1 Circuit Failure
Interpret OBD-II code B1223,,Fuel Temperature Sensor #1 Circuit Open
Interpret OBD-II code B1224,,Fuel Temperature Sensor #1 Circuit Short to Battery
Interpret OBD-II code B1225,,Fuel Temperature Sensor #1 Circuit Short to Ground
Interpret OBD-II code B1226,,Fuel Temperature Sensor #2 Circuit Failure
Interpret OBD-II code B1227,,Fuel Temperature Sensor #2 Circuit Open
Interpret OBD-II code B1228,,Fuel Temperature Sensor #2 Circuit Short to Battery
Interpret OBD-II code B1229,,Fuel Temperature Sensor #2 Circuit Short to Ground
Interpret OBD-II code B1231,,Longitudinal Acceleration Threshold Exceeded
Interpret OBD-II code B1232,,See Manufacturer
Interpret OBD-II code B1233,,Glass Break Sensor Failure
Interpret OBD-II code B1234,,Mirror Switch Invalid Code
Interpret OBD-II code B1235,,Window Feedback Failure
Interpret OBD-II code B1236,,Window Feedback Loss of Signal
Interpret OBD-II code B1237,,Window Feedback Out of Range
Interpret OBD-II code B1238,,Over Temperature Fault
Interpret OBD-II code B1239,,Air Flow Blend Door Driver Circuit Failure
Interpret OBD-II code B1240,,Wiper Washer Rear Pump Relay Circuit Failure
Interpret OBD-II code B1241,,Wiper Washer Rear Pump Relay Circuit Short to Battery
Interpret OBD-II code B1242,,Air Flow Recirculation Door Driver Circuit Failure
Interpret OBD-II code B1243,,Express Window Down Switch Circuit Short to Battery
Interpret OBD-II code B1244,,Wiper Rear Motor Run Relay Circuit Failure
Interpret OBD-II code B1245,,Wiper Rear Motor Run Relay Circuit Short to Battery
Interpret OBD-II code B1246,,Dim Panel Potentiometer Switch Circuit Failure
Interpret OBD-II code B1247,,Panel Dim Switch Circuit Open
Interpret OBD-II code B1249,,Blend Door Failure
Interpret OBD-II code B1250,,Air Temperature Internal Sensor Circuit Failure
Interpret OBD-II code B1251,,Air Temperature Internal Sensor Circuit Open
Interpret OBD-II code B1252,,Air Temperature Internal Sensor Circuit Short To Battery
Interpret OBD-II code B1253,,Air Temperature Internal Sensor Circuit Short To Ground
Interpret OBD-II code B1254,,Air Temperature External Sensor Circuit Failure
Interpret OBD-II code B1255,,Air Temperature External Sensor Circuit Open
Interpret OBD-II code B1256,,Air Temperature External Sensor Circuit Short To Battery
Interpret OBD-II code B1257,,Air Temperature External Sensor Circuit Short To Ground
Interpret OBD-II code B1258,,Solar Radiation Sensor Circuit Failure
Interpret OBD-II code B1259,,Solar Radiation Sensor Circuit Open
Interpret OBD-II code B1260,,Solar Radiation Sensor Circuit Short To Battery
Interpret OBD-II code B1261,,Solar Radiation Sensor Circuit Short To Ground
Interpret OBD-II code B1262,,Servo Motor Defrost Circuit Failure
Interpret OBD-II code B1263,,Servo Motor Vent Circuit Failure
Interpret OBD-II code B1264,,Servo Motor Foot Circuit Failure
Interpret OBD-II code B1265,,Servo Motor Coolair Bypass Circuit  Failure
Interpret OBD-II code B1266,,Servo Motor Airintake Left Circuit Failure
Interpret OBD-II code B1267,,Servo Motor Airintake Right Circuit Failure
Interpret OBD-II code B1268,,Servo Motor Potentiometer Defrost Circuit Failure
Interpret OBD-II code B1269,,Servo Motor Potentiometer Defrost Circuit Open
Interpret OBD-II code B1270,,Servo Motor Potentiometer Defrost Circuit Short To Battery
Interpret OBD-II code B1271,,Servo Motor Potentiometer Defrost Circuit Short To Ground
Interpret OBD-II code B1272,,Servo Motor Potentiometer Vent Circuit Failure
Interpret OBD-II code B1273,,Servo Motor Potentiometer Vent Circuit Open
Interpret OBD-II code B1274,,Servo Motor Potentiometer Vent Circuit Short To Battery
Interpret OBD-II code B1275,,Servo Motor Potentiometer Vent Circuit Short To Ground
Interpret OBD-II code B1276,,Servo Motor Potentiometer Foot Circuit Failure
Interpret OBD-II code B1277,,Servo Motor Potentiometer Foot Circuit Open
Interpret OBD-II code B1278,,Servo Motor Potentiometer Foot Circuit Short To Battery
Interpret OBD-II code B1279,,Servo Motor Potentiometer Foot Circuit Short To Ground
Interpret OBD-II code B1280,,Servo Motor Potentiometer Coolair Circuit Failure
Interpret OBD-II code B1281,,Servo Motor Potentiometer Coolair Circuit Open
Interpret OBD-II code B1282,,Servo Motor Potentiometer Coolair Circuit Short To Battery
Interpret OBD-II code B1283,,Servo Motor Potentiometer Coolair Circuit Short To Ground
Interpret OBD-II code B1284,,Servo Motor Potentiometer Airintake Left Circuit Failure
Interpret OBD-II code B1285,,Servo Motor Potentiometer Airintake Left Circuit Open
Interpret OBD-II code B1286,,Servo Motor Potentiometer Airintake Left Circuit Short To Battery
Interpret OBD-II code B1287,,Servo Motor Potentiometer Airintake Left Circuit Short To Ground
Interpret OBD-II code B1288,,Servo Motor Potentiometer Airintake Right Circuit Failure
Interpret OBD-II code B1289,,Servo Motor Potentiometer Airintake Right Circuit Open
Interpret OBD-II code B1290,,Servo Motor Potentiometer Airintake Right Circuit Short To Battery
Interpret OBD-II code B1291,,Servo Motor Potentiometer Airintake Right Circuit Short To Ground
Interpret OBD-II code B1292,,Battery Power Relay Circuit Failure
Interpret OBD-II code B1293,,Battery Power Relay Circuit Open
Interpret OBD-II code B1294,,Battery Power Relay Circuit Short To Battery
Interpret OBD-II code B1295,,Battery Power Relay Circuit Short To Ground
Interpret OBD-II code B1296,,Power Supply Sensor Circuit Failure
Interpret OBD-II code B1297,,Power Supply Sensor Circuit Open
Interpret OBD-II code B1298,,Power Supply Sensor Circuit Short To Battery
Interpret OBD-II code B1299,,Power Supply Sensor Circuit Short To Ground
Interpret OBD-II code B1300,,Power Door Lock Circuit Failure
Interpret OBD-II code B1301,,Power Door Lock Circuit Open
Interpret OBD-II code B1302,,Accessory Delay Relay Coil Circuit Failure
Interpret OBD-II code B1303,,Accessory Delay Relay Coil Circuit Open
Interpret OBD-II code B1304,,Accessory Delay Relay Coil Circuit Short To Battery
Interpret OBD-II code B1305,,Accessory Delay Relay Coil Circuit Short To Ground
Interpret OBD-II code B1306,,Oil Level Switch Circuit Open
Interpret OBD-II code B1307,,Oil Level Switch Circuit Short To Battery
Interpret OBD-II code B1308,,Oil Level Switch Circuit Short To Ground
Interpret OBD-II code B1309,,Power Door Lock Circuit Short To Ground
Interpret OBD-II code B1310,,Power Door Unlock Circuit Failure
Interpret OBD-II code B1311,,Power Door Unlock Circuit Open
Interpret OBD-II code B1312,,Lamp Headlamp Input Circuit Short To Battery
Interpret OBD-II code B1313,,Battery Saver Relay Coil Circuit Failure
Interpret OBD-II code B1314,,Battery Saver Relay Coil Circuit Open
Interpret OBD-II code B1315,,Battery Saver Relay Coil Circuit Short To Battery
Interpret OBD-II code B1316,,Battery Saver Relay Coil Circuit Short To Ground
Interpret OBD-II code B1317,,Battery Voltage High
Interpret OBD-II code B1318,,Battery Voltage Low
Interpret OBD-II code B1319,,Driver Door Ajar Circuit Failure
Interpret OBD-II code B1320,,Driver Door Ajar Circuit Open
Interpret OBD-II code B1321,,Driver Door Ajar Circuit Short To Battery
Interpret OBD-II code B1322,,Driver Door Ajar Circuit Short To Ground
Interpret OBD-II code B1323,,Door Ajar Lamp Circuit Failure
Interpret OBD-II code B1324,,Door Ajar Lamp Circuit Open
Interpret OBD-II code B1325,,Door Ajar Lamp Circuit Short To Battery
Interpret OBD-II code B1326,,Door Ajar Lamp Circuit Short To Ground
Interpret OBD-II code B1327,,Passenger Door Ajar Circuit Failure
Interpret OBD-II code B1328,,Passenger Door Ajar Circuit Open
Interpret OBD-II code B1329,,Passenger Door Ajar Circuit Short To Battery
Interpret OBD-II code B1330,,Passenger Door Ajar Circuit Short To Ground
Interpret OBD-II code B1331,,Decklid Ajar Rear Door Circuit Failure
Interpret OBD-II code B1332,,Decklid Ajar Rear Door Circuit Open
Interpret OBD-II code B1333,,Decklid Ajar Rear Door Circuit Short To Battery
Interpret OBD-II code B1334,,Decklid Ajar Rear Door Circuit Short To Ground
Interpret OBD-II code B1335,,Door Ajar RR Circuit Failure
Interpret OBD-II code B1336,,Door Ajar RR Circuit Open
Interpret OBD-II code B1337,,Door Ajar RR Circuit Short To Battery
Interpret OBD-II code B1338,,Door Ajar RR Circuit Short To Ground
Interpret OBD-II code B1339,,Chime Input Request Circuit Short To Battery
Interpret OBD-II code B1340,,Chime Input Request Circuit Short To Ground
Interpret OBD-II code B1341,,Power Door Unlock Circuit Short To Ground
Interpret OBD-II code B1342,,ECU Is Defective
Interpret OBD-II code B1343,,Heated Backlite Input Circuit Failure
Interpret OBD-II code B1344,,Heated Backlite Input Circuit Open
Interpret OBD-II code B1345,,Heated Backlite Input Circuit Short To Ground
Interpret OBD-II code B1346,,Heated Backlite Input Circuit Short To Battery
Interpret OBD-II code B1347,,Heated Backlite Relay Circuit Failure
Interpret OBD-II code B1348,,Heated Backlite Relay Circuit Open
Interpret OBD-II code B1349,,Heated Backlite Relay Short To Battery
Interpret OBD-II code B1350,,Heated Backlite Relay Short To Ground
Interpret OBD-II code B1351,,Ignition Key-In Circuit Short To Battery
Interpret OBD-II code B1352,,Ignition Key-In Circuit Failure
Interpret OBD-II code B1353,,Ignition Key-In Circuit Open
Interpret OBD-II code B1354,,Ignition Key-In Circuit Short To Ground
Interpret OBD-II code B1355,,Ignition Run Circuit Failure
Interpret OBD-II code B1356,,Ignition Run Circuit Open
Interpret OBD-II code B1357,,Ignition Run Circuit Short To Battery
Interpret OBD-II code B1358,,Ignition Run Circuit Short To Ground
Interpret OBD-II code B1359,,Ignition Run/Acc Circuit Failure
Interpret OBD-II code B1360,,Ignition Run/Acc Circuit Open
Interpret OBD-II code B1361,,Ignition Run/Acc Circuit Short To Battery
Interpret OBD-II code B1362,,Ignition Run/Acc Circuit Short To Ground
Interpret OBD-II code B1363,,Ignition Start Circuit Failure
Interpret OBD-II code B1364,,Ignition Start Circuit Open
Interpret OBD-II code B1365,,Ignition Start Circuit Short To Battery
Interpret OBD-II code B1366,,Ignition Start Circuit Short To Ground
Interpret OBD-II code B1367,,Ignition Tach Circuit Failure
Interpret OBD-II code B1368,,Ignition Tach Circuit Open
Interpret OBD-II code B1369,,Ignition Tach Circuit Short To Battery
Interpret OBD-II code B1370,,Ignition Tach Circuit Short To Ground
Interpret OBD-II code B1371,,Illuminated Entry Relay Circuit Failure
Interpret OBD-II code B1372,,Illuminated Entry Relay Circuit Open
Interpret OBD-II code B1373,,Illuminated Entry Relay Short To Battery
Interpret OBD-II code B1374,,Illuminated Entry Relay Short To Ground
Interpret OBD-II code B1375,,Oil Change Lamp Circuit Open
Interpret OBD-II code B1376,,Oil Change Lamp Circuit Short To Battery
Interpret OBD-II code B1377,,Oil Change Lamp Circuit Failure
Interpret OBD-II code B1378,,Oil Change Lamp Circuit Short To Ground
Interpret OBD-II code B1379,,Oil Change Reset Button Circuit Short To Ground
Interpret OBD-II code B1380,,Oil Change Reset Button Circuit Failure
Interpret OBD-II code B1381,,Oil Change Reset Button Circuit Open
Interpret OBD-II code B1382,,Oil Change Reset Button Circuit Short To Battery
Interpret OBD-II code B1383,,Oil Level Lamp Circuit Short To Battery
Interpret OBD-II code B1384,,Oil Level Lamp Circuit Failure
Interpret OBD-II code B1385,,Oil Level Lamp Circuit Open
Interpret OBD-II code B1386,,Oil Level Lamp Circuit Short To Ground
Interpret OBD-II code B1387,,Oil Temperature Sensor Circuit Open
Interpret OBD-II code B1388,,Oil Temperature Sensor Circuit Short To Battery
Interpret OBD-II code B1389,,Oil Temperature Sensor Circuit Failure
Interpret OBD-II code B1390,,Oil Temperature Sensor Circuit Short To Ground
Interpret OBD-II code B1391,,Oil Level Switch Circuit Failure
Interpret OBD-II code B1392,,Power Door Memory Lock Relay Circuit Failure
Interpret OBD-II code B1393,,Power Door Memory Lock Relay Circuit Open
Interpret OBD-II code B1394,,Power Door Memory Lock Relay Circuit Short To Battery
Interpret OBD-II code B1395,,Power Door Memory Lock Relay Circuit Short To Ground
Interpret OBD-II code B1396,,Power Door Lock Circuit Short To Battery
Interpret OBD-II code B1397,,Power Door Unlock Circuit Short To Battery
Interpret OBD-II code B1398,,Driver Power Window One Touch Window Relay Circuit Failure
Interpret OBD-II code B1399,,Driver Power Window One Touch Window Relay Circuit Open
Interpret OBD-II code B1400,,Driver Power Window One Touch Window Relay Circuit Short To Battery
Interpret OBD-II code B1401,,Driver Power Window One Touch Window Relay Circuit Short To Ground
Interpret OBD-II code B1402,,Driver Power Window Down Switch Circuit Failure
Interpret OBD-II code B1403,,Driver Power Window Up Switch Circuit Failure
